timestamp,yolo_time,total_time,yolo_fps,total_fps
2025-06-17T17:19:07.356344,1.236,1.2395,0.81,0.81
2025-06-17T17:19:07.508450,0.061,0.064,16.38,15.63
2025-06-17T17:19:07.546214,0.0239,0.0264,41.77,37.9
2025-06-17T17:19:07.621386,0.0619,0.066,16.16,15.15
2025-06-17T17:19:07.691536,0.0312,0.0402,32.02,24.85
2025-06-17T17:19:07.747860,0.0418,0.0454,23.93,22.02
2025-06-17T17:19:07.850515,0.0871,0.0907,11.48,11.02
2025-06-17T17:19:07.908537,0.0435,0.0467,23.0,21.39
2025-06-17T17:19:07.970229,0.0437,0.0484,22.86,20.68
2025-06-17T17:19:08.017365,0.0308,0.0343,32.48,29.13
2025-06-17T17:19:08.064923,0.0324,0.0355,30.84,28.15
2025-06-17T17:19:08.148787,0.0689,0.0751,14.52,13.31
2025-06-17T17:19:08.193634,0.0265,0.0431,37.69,23.21
2025-06-17T17:19:08.246749,0.0249,0.0275,40.13,36.43
2025-06-17T17:19:08.304901,0.044,0.0484,22.75,20.65
2025-06-17T17:19:08.364147,0.0415,0.0451,24.11,22.18
2025-06-17T17:19:08.405475,0.026,0.0297,38.44,33.69
2025-06-17T17:19:08.447187,0.027,0.0299,37.06,33.45
2025-06-17T17:19:08.490470,0.0284,0.0316,35.19,31.69
2025-06-17T17:19:08.537753,0.0327,0.0357,30.55,28.01
2025-06-17T17:19:08.603493,0.051,0.0561,19.59,17.82
2025-06-17T17:19:08.641767,0.0211,0.0242,47.29,41.3
2025-06-17T17:19:08.685388,0.0296,0.0323,33.73,30.95
2025-06-17T17:19:08.740318,0.0378,0.0427,26.43,23.39
2025-06-17T17:19:08.815007,0.0557,0.0599,17.97,16.69
2025-06-17T17:19:08.847268,0.0182,0.0232,55.04,43.09
2025-06-17T17:19:08.893420,0.0295,0.0321,33.89,31.19
2025-06-17T17:19:08.934039,0.0263,0.0287,38.06,34.87
2025-06-17T17:19:09.002379,0.0531,0.0558,18.84,17.91
2025-06-17T17:19:09.059726,0.0432,0.0492,23.13,20.34
2025-06-17T17:19:09.104574,0.0275,0.0303,36.33,33.05
2025-06-17T17:19:09.144830,0.0255,0.0288,39.27,34.73
2025-06-17T17:19:09.209817,0.0501,0.0577,19.96,17.34
2025-06-17T17:19:09.257032,0.0289,0.0314,34.65,31.88
2025-06-17T17:19:09.291855,0.0211,0.0236,47.44,42.45
2025-06-17T17:19:09.328632,0.0233,0.0258,42.97,38.76
2025-06-17T17:19:09.374984,0.0324,0.0353,30.83,28.33
2025-06-17T17:19:09.431856,0.0419,0.0445,23.89,22.49
2025-06-17T17:19:09.470075,0.0225,0.0251,44.38,39.81
2025-06-17T17:19:09.504889,0.0212,0.0239,47.25,41.81
2025-06-17T17:19:09.540923,0.0221,0.025,45.35,40.01
2025-06-17T17:19:09.589072,0.0334,0.0363,29.91,27.55
2025-06-17T17:19:09.641400,0.0382,0.0411,26.19,24.3
2025-06-17T17:19:09.685178,0.0301,0.0328,33.2,30.5
2025-06-17T17:19:09.728702,0.0291,0.0316,34.39,31.6
2025-06-17T17:19:09.769168,0.0267,0.0294,37.38,34.06
2025-06-17T17:19:09.820015,0.0371,0.0399,26.95,25.06
2025-06-17T17:19:09.874989,0.0409,0.0435,24.45,22.98
2025-06-17T17:19:09.907594,0.0191,0.0219,52.36,45.61
2025-06-17T17:19:09.956936,0.0254,0.0392,39.35,25.53
2025-06-17T17:19:10.009787,0.0269,0.039,37.24,25.64
2025-06-17T17:19:10.072213,0.0384,0.0444,26.05,22.53
2025-06-17T17:19:10.132445,0.0417,0.0457,24.0,21.89
2025-06-17T17:19:10.187873,0.0399,0.0427,25.08,23.4
2025-06-17T17:19:10.236802,0.0342,0.0375,29.27,26.68
2025-06-17T17:19:10.275607,0.0245,0.0272,40.82,36.74
2025-06-17T17:19:10.321802,0.0324,0.0351,30.9,28.52
2025-06-17T17:19:10.378021,0.0417,0.0471,23.99,21.24
2025-06-17T17:19:10.418349,0.023,0.0254,43.53,39.36
2025-06-17T17:19:10.456108,0.0242,0.0267,41.33,37.46
2025-06-17T17:19:10.493122,0.0227,0.0256,44.06,39.03
2025-06-17T17:19:10.546078,0.0388,0.0416,25.79,24.01
2025-06-17T17:19:10.597785,0.036,0.0412,27.74,24.27
2025-06-17T17:19:10.648792,0.0351,0.0384,28.46,26.05
2025-06-17T17:19:10.688201,0.0232,0.0277,43.14,36.1
2025-06-17T17:19:10.746536,0.0431,0.0459,23.18,21.78
2025-06-17T17:19:10.802296,0.0399,0.0427,25.03,23.4
2025-06-17T17:19:10.844779,0.028,0.0317,35.77,31.59
2025-06-17T17:19:10.887061,0.0268,0.0301,37.28,33.27
2025-06-17T17:19:10.949139,0.0433,0.0534,23.08,18.73
2025-06-17T17:19:11.022978,0.0524,0.055,19.1,18.19
2025-06-17T17:19:11.066623,0.0274,0.0301,36.53,33.21
2025-06-17T17:19:11.105293,0.0244,0.027,41.0,37.05
2025-06-17T17:19:11.142162,0.0232,0.0259,43.19,38.67
2025-06-17T17:19:11.223263,0.0627,0.0692,15.96,14.45
2025-06-17T17:19:11.268311,0.0301,0.0338,33.21,29.61
2025-06-17T17:19:11.306426,0.0224,0.0254,44.62,39.37
2025-06-17T17:19:11.344912,0.0238,0.0274,41.98,36.45
2025-06-17T17:19:11.407149,0.0472,0.0503,21.18,19.87
2025-06-17T17:19:11.464479,0.0422,0.0453,23.68,22.09
2025-06-17T17:19:11.520227,0.041,0.0435,24.4,23.01
2025-06-17T17:19:11.566451,0.0255,0.0289,39.15,34.64
2025-06-17T17:19:11.605957,0.0244,0.0273,41.02,36.6
2025-06-17T17:19:11.647515,0.028,0.0289,35.74,34.63
2025-06-17T17:19:11.714947,0.0534,0.0572,18.72,17.48
2025-06-17T17:19:11.759417,0.0283,0.0342,35.3,29.22
2025-06-17T17:19:11.801487,0.0255,0.0265,39.22,37.7
2025-06-17T17:19:11.857343,0.0418,0.0444,23.94,22.51
2025-06-17T17:19:11.894530,0.0238,0.0248,42.01,40.32
2025-06-17T17:19:11.930146,0.0225,0.0235,44.47,42.61
2025-06-17T17:19:11.973946,0.0306,0.0331,32.63,30.21
2025-06-17T17:19:12.016939,0.0296,0.0305,33.78,32.74
2025-06-17T17:19:12.069352,0.0392,0.0422,25.53,23.71
2025-06-17T17:19:12.119600,0.0365,0.0375,27.36,26.69
2025-06-17T17:19:12.168337,0.036,0.0385,27.77,26.0
2025-06-17T17:19:12.205817,0.0237,0.0247,42.11,40.51
2025-06-17T17:19:12.246364,0.0268,0.028,37.32,35.72
2025-06-17T17:19:12.280124,0.0208,0.0218,48.05,45.95
2025-06-17T17:19:12.313810,0.0217,0.0226,46.07,44.19
2025-06-17T17:19:12.351315,0.0252,0.0261,39.65,38.31
2025-06-17T17:19:12.392310,0.0258,0.0287,38.7,34.83
2025-06-17T17:19:12.431847,0.0246,0.0273,40.61,36.58
2025-06-17T17:19:12.494805,0.0481,0.049,20.8,20.41
2025-06-17T17:19:12.549743,0.0289,0.0298,34.6,33.57
2025-06-17T17:19:12.598008,0.0335,0.0354,29.86,28.23
2025-06-17T17:19:12.641188,0.0276,0.0287,36.22,34.87
2025-06-17T17:19:12.718534,0.064,0.0689,15.64,14.52
2025-06-17T17:19:12.774276,0.0381,0.0406,26.21,24.64
2025-06-17T17:19:12.810584,0.0231,0.0242,43.33,41.34
2025-06-17T17:19:12.846038,0.0217,0.0228,46.1,43.93
2025-06-17T17:19:12.884442,0.0252,0.0263,39.63,38.08
2025-06-17T17:19:12.922453,0.0257,0.0267,38.92,37.4
2025-06-17T17:19:12.956305,0.0208,0.0217,48.18,46.09
2025-06-17T17:19:12.989326,0.0211,0.022,47.48,45.53
2025-06-17T17:19:13.024597,0.0227,0.0239,44.06,41.82
2025-06-17T17:19:13.059640,0.0222,0.0232,45.07,43.14
2025-06-17T17:19:13.104679,0.0322,0.0332,31.09,30.12
2025-06-17T17:19:13.145816,0.0289,0.03,34.59,33.35
2025-06-17T17:19:13.177974,0.0202,0.0211,49.49,47.38
2025-06-17T17:19:13.210392,0.0201,0.021,49.63,47.54
2025-06-17T17:19:13.247240,0.0232,0.0261,43.11,38.27
2025-06-17T17:19:13.286136,0.0251,0.0264,39.82,37.83
2025-06-17T17:19:13.333888,0.0299,0.036,33.5,27.77
